nDCG,Recall,collection,count
"[0.21154, 0.17084, 0.18729]","[0.08325, 0.15373, 0.19836]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.21154, 0.17084, 0.18729]","[0.08325000000000002, 0.15373, 0.19836000000000004]",all,208
